review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
3670a298-3eed-4e6f-9e7e-4b33fb4a381d,ORD0004486,3,Great!,Would buy again.,2022-07-24,2022-07-24 09:36:00
27430d6d-3795-46b7-9800-54ec0ee8423f,ORD0000825,4,Bad,Would buy again.,2023-05-06,2023-05-06 01:24:00
57169a14-783b-432f-929d-2ff9564102d1,ORD0004178,5,Great!,Not satisfied.,2021-08-25,2021-08-25 10:58:00
e3442209-d941-4230-bf53-7bbfa4a013f3,ORD0004240,3,OK,Packaging damaged.,2024-10-20,2024-10-20 12:13:00
cfd28c24-586b-45fe-b17f-67f89d2eefea,ORD0002599,5,OK,Packaging damaged.,2023-06-14,2023-06-14 15:39:00
db6ff457-cb97-4935-834d-edd30e522c87,ORD0003566,5,Good,Product as described.,2022-12-16,2022-12-16 19:27:00
69702281-a51c-452f-b39f-867a57e61f21,ORD0003204,3,Great!,Would buy again.,2022-05-24,2022-05-24 04:47:00
49e42dbb-b7e9-4cab-8250-c260aa9086b9,ORD0000892,5,Bad,Fast delivery!,2024-03-26,2024-03-26 06:37:00
d4ed5f17-92ee-4eb3-90f9-1b78e7ae5680,ORD0002157,5,Bad,Would buy again.,2021-03-10,2021-03-10 11:46:00
11d0effe-a231-4d85-864f-d1d371014b39,ORD0009716,5,OK,Would buy again.,2022-11-26,2022-11-26 20:57:00
926f4380-a05d-471f-ac86-a6349ec83c8a,ORD0005139,4,Good,Fast delivery!,2024-07-05,2024-07-05 14:16:00
4fe4b1bc-ee8e-4bdf-8885-034c3d39549a,ORD0006298,2,Bad,Not satisfied.,2022-12-26,2022-12-26 21:02:00
ee40952d-986f-4e29-9330-af0b8b7f37fa,ORD0007983,1,,Would buy again.,2021-10-03,2021-10-03 19:52:00
98c4f9e9-e0f9-4c4e-9b09-afe5b0447c2b,ORD0004873,4,Good,Excellent quality!,2022-09-01,2022-09-01 06:26:00
a0f44a57-d4bc-44cd-ad63-7e272c25d227,ORD0009334,2,,Fast delivery!,2024-11-06,2024-11-06 03:34:00
287aeac4-ab87-4b4a-8029-38c85d25d4c0,ORD0004330,5,Good,Would buy again.,2023-06-05,2023-06-05 08:07:00
778cab5d-bf84-4a63-8b4a-b18a86dcdc8e,ORD0004088,2,,Would buy again.,2021-09-24,2021-09-24 00:08:00
68e51154-5233-4e1b-bd97-4a3aa505bd62,ORD0001451,3,Good,Packaging damaged.,2021-05-17,2021-05-17 20:42:00
16f6159c-1216-45d1-97b1-c385e429feeb,ORD0009589,1,,Not satisfied.,2024-02-27,2024-02-27 12:22:00
b1a210f7-b689-49f2-ae08-4568378f51b4,ORD0005467,5,Great!,Fast delivery!,2022-10-01,2022-10-01 18:32:00
e3e33915-cc00-4740-a6f2-bc509d332eb5,ORD0003707,5,,,2024-10-18,2024-10-18 07:38:00
6c7c49fe-15b2-48ba-baaa-254939b57eda,ORD0001925,4,,Excellent quality!,2024-04-21,2024-04-21 19:37:00
ff458aa6-6a3f-4d4a-9318-25da79866e43,ORD0002078,5,Great!,Fast delivery!,2022-07-25,2022-07-25 04:09:00
ec26be0c-2230-433c-9759-270d552d4043,ORD0006206,5,Good,Packaging damaged.,2024-09-19,2024-09-19 04:14:00
f74be377-da2b-417f-93b9-040880c650d7,ORD0000189,5,,Not satisfied.,2023-08-20,2023-08-20 18:15:00
0be62185-bdc9-4dd8-bd37-7faad25dd405,ORD0001171,5,,Packaging damaged.,2021-07-01,2021-07-01 01:31:00
a2b1df93-fa62-466e-b3fa-6be0fabee4be,ORD0004053,4,Bad,Would buy again.,2022-11-18,2022-11-18 04:08:00
7886a704-2b3a-4eff-b588-9cae27329ccb,ORD0003679,3,,Packaging damaged.,2023-10-30,2023-10-30 19:31:00
6640b35d-8e73-4b91-a402-76c977608fd2,ORD0004118,4,OK,Excellent quality!,2021-04-01,2021-04-01 03:01:00
4bd4c752-ad72-4611-a3d0-a5c8704d09cf,ORD0000837,5,Good,,2022-07-31,2022-07-31 05:56:00
c295d6a3-e07f-4ad9-9b22-0ee6c0555196,ORD0003405,5,,Excellent quality!,2023-07-19,2023-07-19 23:28:00
63b07c9a-f5c8-4508-80f2-9975997410bf,ORD0003026,5,Bad,Not satisfied.,2022-01-04,2022-01-04 01:21:00
56e8fdc2-5e76-4ea4-b841-810fff865784,ORD0007315,5,Bad,Not satisfied.,2021-07-14,2021-07-14 08:28:00
c5ea1077-6af0-4445-a55a-54ea8b6beadd,ORD0008718,5,,Not satisfied.,2021-04-24,2021-04-24 20:16:00
6c732a8c-21a3-45bd-923d-f0d70aa53200,ORD0009887,5,Good,Would buy again.,2023-01-11,2023-01-11 19:42:00
7c0ddf40-fdf1-400d-aafe-37eec066d49b,ORD0001235,5,,Product as described.,2022-05-08,2022-05-08 15:47:00
3e128196-4096-47ae-b82f-760de6106f86,ORD0002113,4,,Not satisfied.,2022-05-26,2022-05-26 12:39:00
c5d64f4a-9bb8-4b61-a86b-38b7ce7df5f3,ORD0004512,5,Good,,2024-05-07,2024-05-07 12:20:00
c1612a7e-728c-473c-b4d0-1776ac0ae3b3,ORD0004749,4,Great!,Packaging damaged.,2022-06-09,2022-06-09 19:25:00
9b8d0139-0252-4c44-ba77-56364c9ea476,ORD0007401,5,,Not satisfied.,2024-06-14,2024-06-14 05:57:00
b9749061-6f5d-48af-932e-2472c4bdbf3c,ORD0004331,5,Great!,,2024-12-13,2024-12-13 16:50:00
0a1cde5a-c471-49a0-9112-d7b2a1c87ed0,ORD0002922,5,Great!,Packaging damaged.,2023-10-16,2023-10-16 10:48:00
ac52d997-24c9-4657-b0a2-38e5255568d4,ORD0005736,5,Bad,,2023-12-08,2023-12-08 18:44:00
238f7193-4e3e-4f60-9525-d647a28cfd76,ORD0006296,1,Good,Would buy again.,2022-09-17,2022-09-17 14:13:00
0cd577b8-c1a0-43c2-a0ef-8dc6b2ccf2d2,ORD0003592,5,Great!,Product as described.,2022-09-27,2022-09-27 09:29:00
2626613a-cfbd-413d-a72b-fe2851d68fc0,ORD0008490,4,Bad,Not satisfied.,2022-08-11,2022-08-11 20:35:00
36aed07d-970e-4c6a-868f-2ec3a296d3c1,ORD0004494,5,,,2024-10-09,2024-10-09 19:39:00
25be38c0-bae3-4154-ba68-32c190ea8faf,ORD0006647,4,,Excellent quality!,2022-01-11,2022-01-11 10:23:00
d3b1a3c0-b8cf-4c77-bd87-959e91521b5e,ORD0003382,3,Bad,Packaging damaged.,2021-05-13,2021-05-13 04:09:00
4ac28ab8-5ef4-4d9e-946c-597724a62431,ORD0003236,5,Good,,2022-12-17,2022-12-17 20:49:00
80e105fb-8d6f-4af7-9558-e5e9c95c436d,ORD0006160,3,,Product as described.,2024-06-13,2024-06-13 02:12:00
85cd7a55-8f84-4624-886e-8c14ee0daf0b,ORD0006082,4,Good,Product as described.,2024-07-16,2024-07-16 02:17:00
963d7343-d139-4df5-8c8e-e519ea19c14e,ORD0001721,4,Great!,Would buy again.,2021-03-01,2021-03-01 06:30:00
35307e93-e50b-43e6-8c78-5b9d153e588a,ORD0008075,3,,Would buy again.,2021-03-16,2021-03-16 15:14:00
e0d98f61-f9d5-453d-8e1e-588e3f2545a8,ORD0000565,5,Good,Fast delivery!,2022-11-22,2022-11-22 10:08:00
7ff116a2-4e59-4e0c-84c0-632c24011921,ORD0001595,5,,Packaging damaged.,2022-02-24,2022-02-24 12:48:00
08cc0b42-2a88-43ec-9d62-945ff4217ea1,ORD0000712,2,OK,Excellent quality!,2021-03-13,2021-03-13 00:29:00
eb3b28ca-eb78-45fb-88ab-41d6e97b1a32,ORD0006336,5,OK,Excellent quality!,2023-07-24,2023-07-24 20:14:00
51cddb8c-cace-4bad-8f9c-9578b25aebee,ORD0006921,5,Bad,Not satisfied.,2024-04-27,2024-04-27 01:20:00
10f6865d-884e-4314-a3ee-4bda714556ae,ORD0000112,4,Great!,Would buy again.,2021-03-29,2021-03-29 20:09:00
a99fbc0b-06c8-4744-870e-f96989870316,ORD0000412,5,Great!,Product as described.,2022-12-30,2022-12-30 16:35:00
a45e8eb9-904a-406e-918d-f2a86a9eda9b,ORD0003347,5,Great!,Would buy again.,2023-01-16,2023-01-16 02:44:00
0d5816b2-6625-4f95-91c1-47e7f910f107,ORD0003893,4,Great!,Packaging damaged.,2023-07-09,2023-07-09 15:04:00
dd039428-9d6f-4c59-9c67-d140ab08f54c,ORD0002703,2,Bad,Fast delivery!,2024-03-28,2024-03-28 04:29:00
1e91dacd-9250-41f4-9110-47674ab473b7,ORD0005233,4,,,2023-08-10,2023-08-10 01:08:00
b9184a28-ddb2-4dd9-a5a4-5383e72ac6b5,ORD0005064,4,Great!,Would buy again.,2023-03-31,2023-03-31 14:18:00
3a6c6d11-940f-4d06-8157-0de6690d1a05,ORD0002629,4,,Packaging damaged.,2021-02-07,2021-02-07 10:29:00
bef0c034-78c4-42da-8ec5-db87ab500b9f,ORD0002331,5,,Fast delivery!,2021-09-25,2021-09-25 03:45:00
dc84e432-ec0c-4aac-af72-b46b908e2f8a,ORD0000095,4,Great!,Fast delivery!,2024-09-28,2024-09-28 03:56:00
9fa62d57-d5d0-4dbc-bf00-164d99aebdac,ORD0006675,2,OK,Not satisfied.,2021-12-06,2021-12-06 17:11:00
3596769c-cfcf-4f35-ad67-b3ce3f869890,ORD0004595,5,,,2024-12-04,2024-12-04 12:35:00
8b9e67ef-8736-4c52-be6e-7b799d3945d5,ORD0003801,3,Bad,Excellent quality!,2024-06-15,2024-06-15 13:31:00
