customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
CUST00001,a50c6c34-b38e-47ab-9dc9-2eddd77a3df7,93810,Rio de Janeiro,SP
CUST00002,d05cddad-6a8c-420c-8df7-f29fc8bcc77c,46048,Salvador,BA
CUST00003,65f3a3f4-ed9d-4bf1-9e27-3287bd3837bb,28289,Manaus,RJ
CUST00004,7e398525-16d4-4cbb-813b-29b27e7d55db,98696,Manaus,MS
CUST00005,edec13c9-2110-426b-b513-41b73187a047,81482,Rio de Janeiro,PE
CUST00006,feaf7990-ec7e-4d02-a39c-d6d74a88a860,65302,Sao Paulo,SP
CUST00007,b6a6d456-d2fa-4cb1-a89d-59e29fa28164,22280,Salvador,BA
CUST00008,b05a73f2-943d-49b7-813c-7286ffd9c950,76237,Recife,SP
CUST00009,03436cf4-6eda-4e28-acbb-ccb35879ed8f,83563,Salvador,AM
CUST00010,88ffd100-e783-4479-b9e4-faaa0b95ef8b,95181,Manaus,ES
CUST00011,b86f9fac-e4fe-47f4-9e2b-5b6ae5581192,64987,Salvador,GO
CUST00012,48d68b6a-e7dd-434c-ab1d-d69865656e77,87236,Porto Alegre,DF
CUST00013,9e7c00ac-6756-4008-ac92-6576e089c06f,10851,Belo Horizonte,AM
CUST00014,54f17ec7-f94e-4780-940a-55f84c28f049,65392,Curitiba,RS
CUST00015,b3ec48d1-2057-412c-a437-8985927ba3dc,30379,Salvador,DF
CUST00016,ef27cd8c-9828-4b0d-aaa4-905b7b80ecb0,54118,Rio de Janeiro,RJ
CUST00017,ac35f4e6-d5e4-428c-9e89-c217c46db867,59797,Rio de Janeiro,PR
CUST00018,846c8fc6-eebe-499d-b676-b7ce3e6ee064,55082,Recife,RS
CUST00019,4b8dca22-33ad-482b-9928-adba6eb51ec2,15695,Manaus,GO
CUST00020,6a5555b0-3596-4f70-8cf4-406d161abf90,80284,Rio de Janeiro,MS
CUST00021,bd970d9e-3748-45df-a1e3-e463c7519482,59615,Rio de Janeiro,ES
CUST00022,1c24aa27-63e4-46cd-80ff-3b9a9658def7,48427,Fortaleza,PE
CUST00023,644fabd7-40ee-4ab2-adbb-10431579d0bd,57400,Recife,BA
CUST00024,f1386786-fdd0-48b1-8a29-200bb453249b,19116,Sao Paulo,CE
CUST00025,08fc5bd6-c279-4977-920b-cd0a8769612e,39871,Porto Alegre,RJ
CUST00026,08a968c0-8348-4d7e-b79b-38cbd2371959,40512,Rio de Janeiro,SC
CUST00027,024e3f58-fedc-4192-9d22-573470942e8e,46434,Goiania,CE
CUST00028,59d443b3-6d29-40c4-9ce7-5ffeba9eb1e2,57819,Belo Horizonte,PR
CUST00029,2972c181-245f-4bdc-8e85-c74d4ed2c980,56566,Salvador,CE
CUST00030,2612d5c5-d9ab-4385-b4e1-cca1f3e075ca,44993,Manaus,MS
CUST00031,09218ac6-b94e-4278-ac69-3120e4b18836,99593,Fortaleza,RJ
CUST00032,8cc18dea-41d3-4ed9-9ea8-fd44a3b170a1,89840,Fortaleza,MG
CUST00033,fcd18b9e-aa7d-49f8-9ff0-69d07753b393,80010,Manaus,BA
CUST00034,edc914c9-22ba-4d36-bd21-bc0cb3d221c1,31417,Goiania,SC
CUST00035,3795b9bf-804b-4090-8266-a6358db5ac45,45382,Fortaleza,AM
CUST00036,65915a4b-862a-4b6e-9c53-9d6801b51158,83000,Salvador,CE
CUST00037,1c726016-1a70-45d9-b789-9fb675def923,52504,Sao Paulo,BA
CUST00038,0ccf9d3a-631d-47e7-9453-287b4032fa48,14207,Curitiba,SC
CUST00039,56f2c0dd-8154-4b29-abe2-703650f3c49e,45093,Rio de Janeiro,BA
CUST00040,bf0e36f9-182f-4819-914b-cd53bee553a0,84341,Manaus,PR
CUST00041,e0822c9d-2355-4392-850c-ce68ff2fc95b,37869,Fortaleza,GO
CUST00042,7025caf5-77f0-4784-8b6e-28524f106868,61856,Fortaleza,GO
CUST00043,a720edea-538c-4c32-af38-70377f2576d2,28726,Porto Alegre,MG
CUST00044,b7ed4335-9752-4d85-845c-b321f8867b79,42325,Manaus,ES
CUST00045,a0398e96-43ef-4738-9831-2830831bd98f,80644,Porto Alegre,AM
CUST00046,5d0ee46f-1151-4e89-aa4b-9fc344b760c3,86622,Florianopolis,MS
CUST00047,1a099c15-551e-45e4-994f-e29eda8e4bb2,86484,Florianopolis,PR
CUST00048,1e826b62-d67c-437f-9bc0-57ffaa78be0a,38746,Belo Horizonte,ES
CUST00049,70671273-6505-4dae-9b94-9c0a6bdb8f16,74686,Rio de Janeiro,DF
CUST00050,60d4df71-d8f3-4240-b457-849e2cdfee41,16175,Rio de Janeiro,MG
CUST00051,c1aa0e53-c2a9-4aa3-84cb-715e4af4b4da,92240,Belo Horizonte,DF
CUST00052,d608a5d3-7c41-41e6-b6e8-17cd3b7da14f,99192,Florianopolis,PE
CUST00053,92cbadf0-4bd7-4d89-b6ff-b713d653d8e0,18326,Florianopolis,SC
CUST00054,403aedf5-b17c-4d7c-bfab-4564605af513,88104,Goiania,ES
CUST00055,3628aba9-5650-4958-aa39-634ddd4fe176,42953,Vitoria,MT
CUST00056,0c1ad75e-cb49-4a06-a4e9-902ce9a09f07,11504,Fortaleza,AM
CUST00057,e14062bf-cfec-4770-8c7d-cb7c3987aca6,25014,Fortaleza,MS
CUST00058,8128f858-7c14-47fa-bffc-efa7a20d45b8,80381,Porto Alegre,DF
CUST00059,3a43260d-5c41-4934-8a72-c8b09a250782,94012,Curitiba,RJ
CUST00060,48b1f960-9bf9-4fd5-8287-255b94b42351,48469,Florianopolis,MG
CUST00061,e21a21d0-7d60-44a9-8d94-2601fd60b092,69470,Sao Paulo,AM
CUST00062,d64182ec-1a3e-4482-b997-7ed6140f785d,44522,Vitoria,DF
CUST00063,d0ebaa06-0597-44dc-9e37-d5238215fb05,33416,Vitoria,MS
CUST00064,35f291a3-6107-485e-86e7-f8f23ffe3a5d,23947,Fortaleza,RS
CUST00065,3de3633f-66ff-4e6e-bc31-0be662e0f598,93748,Vitoria,PE
CUST00066,9cfedb84-5628-416b-bc31-8bede8a4c828,36071,Belo Horizonte,PR
CUST00067,03ee1f42-dff2-443d-a099-509001e14627,31174,Vitoria,DF
CUST00068,bc465bb8-617b-4a84-8cda-768bf2966a7b,79514,Sao Paulo,PE
CUST00069,c1718178-e56e-49a6-a1a0-5c521c452e14,52487,Goiania,SP
CUST00070,dd301e33-4eaf-4688-93ae-dc897778e40f,24662,Curitiba,MS
CUST00071,e5976af8-842b-4c44-b99a-bf352a181692,50306,Salvador,SP
CUST00072,ba1be096-6c55-4076-9eb8-3b1ecbe66afc,41571,Recife,RJ
CUST00073,c023666e-72de-4783-9962-68bd430da46a,21226,Manaus,GO
CUST00074,1d5c71b4-50b9-47f2-bded-20f1afbb7c95,19071,Vitoria,DF
CUST00075,f73fe7cc-8333-4953-b7fa-cd532f1b905c,26483,Belo Horizonte,CE
CUST00076,a1745651-7bba-497c-90ea-c3ab3f9fc998,72296,Vitoria,MG
CUST00077,4cd7a536-9077-4b67-b195-334ce6d2c759,44741,Vitoria,MT
CUST00078,e87a1e05-febf-44e5-aa30-c0ffe0b7a022,89507,Florianopolis,BA
CUST00079,7edf32f6-21ad-4fd0-9829-8831e9e280d0,80686,Manaus,AM
CUST00080,ab28e45f-cf2f-49bd-9db8-c006f2995576,36365,Manaus,RS
CUST00081,fb0d6add-601e-49b8-a6af-8791017f64cb,62296,Fortaleza,CE
CUST00082,03eec15a-9972-4e01-a1e7-3a0c11e2a7c9,58944,Goiania,MS
CUST00083,51f61f13-1cdd-4df4-8b13-0851eaab77c1,77839,Goiania,RJ
CUST00084,0828e20f-d1e3-4fc8-a24c-e4435a36363d,42493,Salvador,RJ
CUST00085,d50ed7b3-196c-4cc3-b0a2-23955fdd344d,54313,Sao Paulo,PE
CUST00086,81c4e732-3c05-4235-b100-7fbf5f1e2e01,82603,Salvador,PE
CUST00087,3ce644d5-be04-4605-9070-29fadb2dd0b0,38864,Sao Paulo,RJ
CUST00088,099c49f4-4d09-42bc-907d-37875a26613b,92719,Sao Paulo,BA
CUST00089,7332c674-2c78-4811-9fee-d4e5d94b8b9f,18834,Sao Paulo,MT
CUST00090,00576cd9-08bf-421b-ac32-5cb0659ca26d,53309,Rio de Janeiro,ES
CUST00091,57db4a18-434c-472f-b6ce-d411eb660a4c,41195,Porto Alegre,CE
CUST00092,21b29a50-de2a-45ff-a208-51ba751edd7c,73624,Salvador,ES
CUST00093,274b09ed-569b-4e31-aa3f-46bed3ca7fd6,27342,Manaus,MS
CUST00094,c08f7b21-5eac-44b0-86f3-c31b0402894b,84847,Recife,GO
CUST00095,50f094aa-76b9-4bd8-aa16-6a2678d3cfff,41850,Goiania,DF
CUST00096,f2841591-479c-45da-b709-f363f716d2f8,63354,Salvador,RJ
CUST00097,a044ef7e-b7a6-4500-b658-f76964d2434a,22704,Fortaleza,SC
CUST00098,9b35dc18-aaef-4860-bec2-481ff9b30f8a,56438,Florianopolis,SC
CUST00099,c17462ef-f950-4f73-b155-7f0a8c9f1c6d,71213,Manaus,SP
CUST00100,f2b33cb8-f1fc-47eb-89de-e00007acaacf,98259,Fortaleza,CE
CUST00101,50af7a6a-9c85-4147-859e-f60241dcfdfc,22899,Sao Paulo,SC
CUST00102,008f647c-5578-4ea1-aca6-dadd3f11afb7,54473,Rio de Janeiro,BA
CUST00103,5d2cab48-1b4c-4139-95a3-542eddbaf406,35112,Salvador,ES
CUST00104,f54137f9-fdb8-4012-a07d-26861115710a,68800,Belo Horizonte,SC
CUST00105,0e05c4ec-a310-4716-bd97-55c3fda53cca,34050,Porto Alegre,GO
CUST00106,e90a1655-eaa9-41fa-8650-a11a0550adce,42742,Rio de Janeiro,GO
CUST00107,27dd4bb7-3c2e-4db6-9c3e-50bb09519989,82132,Rio de Janeiro,SP
CUST00108,fcd99f9d-2f4e-4b38-b411-1704ed43b12b,95477,Vitoria,MT
